,DateTime,StartTime,EndTime,SurfaceLogger,StartSurfaceTemp,EndSurfaceTemp,PoleLogger,PoleTemp,Utility Pole #,Latitude,Longitude,Sun/Shade,Trees?,SummedBA,DistanceDecay
38,2022-08-11 11:57:00,11:52,11:57,21302958,35.99,42.0,21223126,22.621,TP3972,47.218737,-122.476183,Sun,Y,0.0003141592653589793,3.1415926535897933e-06
39,2022-08-11 11:57:00,11:52,11:57,21302949,0.0,0.0,21223104,22.717,CP10,47.20749,-122.471139,Sun,N,0.0,0.0
40,2022-08-11 12:00:00,11:54,12:00,21302943,30.8,31.66,21302974,22.39,TP32717,47.211774,-122.482961,Sun,Y,1.029244658178271,0.037558125752046735
41,2022-08-11 12:00:00,11:55,12:00,21302954,35.48,28.23,21302953,22.99,TP6335,47.220145,-122.473804,Shade,Y,0.06251769380643689,0.006098965804631585
42,2022-08-11 12:02:00,11:57,12:02,21302965,31.7,39.98,21223132,22.333,TP14329,47.216757,-122.478987,Sun,Y,0.16493361431346415,0.0045814892864851145
43,2022-08-11 12:03:00,11:58,12:03,21302978,40.62,43.11,21223139,22.333,TP34225,47.212423,-122.473859,Sun,Y,0.011309733552923255,0.0007068583470577034
44,2022-08-11 12:04:00,11:59,12:04,21302958,37.96,29.94,21223110,21.855,14998,47.219307,-122.475104,Shade,N,0.0,0.0
45,2022-08-11 12:06:00,12:01,12:06,21302949,0.0,0.0,21223103,22.812,52/1,47.209692,-122.470915,Shade,N,0.0,0.0
46,2022-08-11 12:06:00,12:01,12:06,21302973,28.87,34.66,21223102,22.046,TP13987,47.220944,-122.484222,Sun,Y,0.1413716694115407,0.006381360077604268
47,2022-08-11 12:06:00,12:01,12:06,21302973,28.87,34.66,21223102,22.046,TP13987,47.220944,-122.484222,Sun,Y,0.1413716694115407,0.006381360077604268
48,2022-08-11 12:07:00,12:02,12:07,21302954,27.41,24.28,21302957,22.01,TP27040,47.218584,-122.473756,Shade,Y,0.08325220532012952,0.04629485840914959
49,2022-08-11 12:08:00,12:03,12:08,21302943,30.11,31.66,21223109,22.333,TP15041,47.210207,-122.481382,Shade,Y,0.5953860003285403,0.016538500009126118
50,2022-08-11 12:09:00,12:04,12:09,21302965,35.26,28.14,21223119,22.142,TP9179,,,Shade,,0.0,0.0
51,2022-08-11 12:10:00,12:05,12:10,21302978,39.55,41.14,21223120,22.142,TP24409,47.213278,-122.473825,Sun,Y,0.004417864669110646,9.189158511750144e-05
52,2022-08-11 12:11:00,12:06,12:11,21302958,31.66,42.55,21223125,22.621,TP32711/A0572122,47.218265,-122.4751,Sun,Y,0.0012566370614359172,1.2566370614359173e-05
53,2022-08-11 12:11:00,12:06,12:11,21302948,32.56,38.82,21223135,22.142,TP20080,47.199322,-122.467007,Sun,Y,0.695293359101676,0.018843721151783517
54,2022-08-11 12:13:00,12:08,12:13,21302973,34.83,39.38,21223131,22.333,TP13988,47.221409,-122.484049,Sun,N,0.0,0.0
55,2022-08-11 12:13:00,12:08,12:13,21302949,0.0,0.0,21223130,23.966,112049 50/3,47.210805,-122.470919,Sun,Y,0.0,0.0
56,2022-08-11 12:16:00,12:11,12:16,21302954,27.88,36.93,21302950,22.52,TP6340,47.216117,-122.473789,Sun,N,0.0,0.0
57,2022-08-11 12:17:00,12:12,12:17,21302958,43.2,32.69,21223107,22.621,TP20001,47.217921,-122.475142,Shade,Y,0.0,0.0
58,2022-08-11 12:18:00,12:12,12:18,21302965,31.83,36.38,21223111,22.717,TP9182,47.216742,-122.476333,Shade,N,0.0,0.0
59,2022-08-11 12:21:00,12:16,12:21,21302948,32.73,26.85,21223128,22.333,A1346792,47.201034,-122.46815,Shade,Y,0.32554753872824227,0.00595864133277124
60,2022-08-11 12:23:00,12:18,12:23,21302949,0.0,0.0,21223136,23.773,TP13307,47.212105,-122.469791,Sun,Y,0.001963495408493621,0.0002181661564992912
61,2022-08-11 12:24:00,12:19,12:24,21302965,33.76,39.68,21223124,22.621,TP24199,47.216678,-122.475183,Sun,Y,0.04908738521234052,0.0004908738521234052
62,2022-08-11 12:30:00,12:25,12:30,21302973,34.19,39.68,21223108,22.621,TP5817,47.217006,-122.482094,Sun,Y,0.07853981633974483,0.004908738521234052
63,2022-08-11 12:35:00,12:30,12:35,21302948,30.8,40.71,21223133,23.388,TP3890,47.206095,-122.4711,Sun,N,0.0,0.0
64,2022-08-11 12:37:00,12:32,12:37,21302973,38.78,47.1,21223122,23.292,TP21035,47.216008,-122.482092,Sun,Y,0.001963495408493621,1.963495408493621e-05
